ghg,SAR,TAR,AR4,AR5,source
CO2,1,1,1,1,2021 Climate Registry Default Emission Factors (May 2021)
CH4,21,23,25,28,2021 Climate Registry Default Emission Factors (May 2021)
N2O,310,296,298,265,2021 Climate Registry Default Emission Factors (May 2021)
NF3,,10800,17200,16100,2021 Climate Registry Default Emission Factors (May 2021)
SF6,23900,22200,22800,23500,2021 Climate Registry Default Emission Factors (May 2021)
HFC-23 (R-23),11700,12000,14800,12400,2021 Climate Registry Default Emission Factors (May 2021)
HFC-32 (R-32),650,550,675,677,2021 Climate Registry Default Emission Factors (May 2021)
HFC-41 (R-41),150,97,92,116,2021 Climate Registry Default Emission Factors (May 2021)
HFC-125 (R-125),2800,3400,3500,3170,2021 Climate Registry Default Emission Factors (May 2021)
HFC-134 (R-134),1000,1100,1100,1120,2021 Climate Registry Default Emission Factors (May 2021)
HFC-134a (R-134a),1300,1300,1430,1300,2021 Climate Registry Default Emission Factors (May 2021)
HFC-143 (R-143),300,330,353,328,2021 Climate Registry Default Emission Factors (May 2021)
HFC-143a (R-143a),3800,4300,4470,4800,2021 Climate Registry Default Emission Factors (May 2021)
HFC-152 (R-152),,43,53,16,2021 Climate Registry Default Emission Factors (May 2021)
HFC-152a (R-152a),140,120,124,138,2021 Climate Registry Default Emission Factors (May 2021)
HFC-161 (R-161),,12,12,4,2021 Climate Registry Default Emission Factors (May 2021)
HFC-227ea (R-227ea),2900,3500,3220,3350,2021 Climate Registry Default Emission Factors (May 2021)
HFC-236cb (R-236cb),,1300,1340,1210,2021 Climate Registry Default Emission Factors (May 2021)
HFC-236ea (R-236ea),,1200,1370,1330,2021 Climate Registry Default Emission Factors (May 2021)
HFC-236fa (R-236fa),6300,9400,9810,8060,2021 Climate Registry Default Emission Factors (May 2021)
HFC-245ca (R-245ca),560,640,693,716,2021 Climate Registry Default Emission Factors (May 2021)
HFC-245fa (R-245fa),,950,1030,858,2021 Climate Registry Default Emission Factors (May 2021)
HFC-365mfc,,890,794,804,2021 Climate Registry Default Emission Factors (May 2021)
HFC-43-10mee (R- 4310),1300,1500,1640,1650,2021 Climate Registry Default Emission Factors (May 2021)
PFC-14,6500,5700,7390,6630,2021 Climate Registry Default Emission Factors (May 2021)
PFC-116,9200,11900,12200,11100,2021 Climate Registry Default Emission Factors (May 2021)
PFC-218,7000,8600,8830,8900,2021 Climate Registry Default Emission Factors (May 2021)
PFC-318,8700,10000,10300,9540,2021 Climate Registry Default Emission Factors (May 2021)
PFC-3-1-10,7000,8600,8860,9200,2021 Climate Registry Default Emission Factors (May 2021)
PFC-4-1-12,,8900,9160,8550,2021 Climate Registry Default Emission Factors (May 2021)
PFC-5-1-14,7400,9000,9300,7910,2021 Climate Registry Default Emission Factors (May 2021)
PFC-9-1-18,,,7500,7190,2021 Climate Registry Default Emission Factors (May 2021)
"HFCs and PFCs, unspecified",4142.105263,4051.230769,4446.148148,4113.592593,"Average of all other HFCs, PFCs"
R-401A,18,16,16,18,2021 Climate Registry Default Emission Factors (May 2021)
R-401B,15,13,14,15,2021 Climate Registry Default Emission Factors (May 2021)
R-401C,21,18,19,21,2021 Climate Registry Default Emission Factors (May 2021)
R-402A,1680,2040,2100,1902,2021 Climate Registry Default Emission Factors (May 2021)
R-402B,1064,1292,1330,1205,2021 Climate Registry Default Emission Factors (May 2021)
R-403A,1400,1720,1766,1780,2021 Climate Registry Default Emission Factors (May 2021)
R-403B,2730,3354,3444,3471,2021 Climate Registry Default Emission Factors (May 2021)
R-404A,3260,3784,3922,3943,2021 Climate Registry Default Emission Factors (May 2021)
R-407A,1770,1990,2107,1923,2021 Climate Registry Default Emission Factors (May 2021)
R-407B,2285,2695,2804,2547,2021 Climate Registry Default Emission Factors (May 2021)
R-407C,1526,1653,1774,1624,2021 Climate Registry Default Emission Factors (May 2021)
R-407D,1428,1503,1627,1487,2021 Climate Registry Default Emission Factors (May 2021)
R-407E,1363,1428,1552,1425,2021 Climate Registry Default Emission Factors (May 2021)
R-407F,1555,1705,1825,1674,2021 Climate Registry Default Emission Factors (May 2021)
R-407G,1321,1334,1463,1331,2021 Climate Registry Default Emission Factors (May 2021)
R-407H,1314,1371,1495,1378,2021 Climate Registry Default Emission Factors (May 2021)
R-407I,1301,1332,1459,1337,2021 Climate Registry Default Emission Factors (May 2021)
R-408A,1944,2216,2301,2430,2021 Climate Registry Default Emission Factors (May 2021)
R-410A,1725,1975,2088,1924,2021 Climate Registry Default Emission Factors (May 2021)
R-410B,1833,2118,2229,2048,2021 Climate Registry Default Emission Factors (May 2021)
R-411A,15,13,14,15,2021 Climate Registry Default Emission Factors (May 2021)
R-411B,4,4,4,4,2021 Climate Registry Default Emission Factors (May 2021)
R-412A,350,430,442,445,2021 Climate Registry Default Emission Factors (May 2021)
R-415A,25,22,22,25,2021 Climate Registry Default Emission Factors (May 2021)
R-415B,105,90,93,104,2021 Climate Registry Default Emission Factors (May 2021)
R-416A,767,767,844,767,2021 Climate Registry Default Emission Factors (May 2021)
R-417A,1955,2234,2346,2127,2021 Climate Registry Default Emission Factors (May 2021)
R-417B,2450,2924,3027,2742,2021 Climate Registry Default Emission Factors (May 2021)
R-417C,1570,1687,1809,1643,2021 Climate Registry Default Emission Factors (May 2021)
R-418A,4,3,3,3,2021 Climate Registry Default Emission Factors (May 2021)
R-419A,2403,2865,2967,2688,2021 Climate Registry Default Emission Factors (May 2021)
R-419B,1982,2273,2384,2161,2021 Climate Registry Default Emission Factors (May 2021)
R-420A,1144,1144,1258,1144,2021 Climate Registry Default Emission Factors (May 2021)
R-421A,2170,2518,2631,2385,2021 Climate Registry Default Emission Factors (May 2021)
R-421B,2575,3085,3190,2890,2021 Climate Registry Default Emission Factors (May 2021)
R-422A,2532,3043,3143,2847,2021 Climate Registry Default Emission Factors (May 2021)
R-422B,2086,2416,2526,2290,2021 Climate Registry Default Emission Factors (May 2021)
R-422C,2491,2983,3085,2794,2021 Climate Registry Default Emission Factors (May 2021)
R-422D,2232,2623,2729,2473,2021 Climate Registry Default Emission Factors (May 2021)
R-422E,2135,2483,2592,2350,2021 Climate Registry Default Emission Factors (May 2021)
R-423A,2060,2345,2280,2274,2021 Climate Registry Default Emission Factors (May 2021)
R-424A,2025,2328,2440,2212,2021 Climate Registry Default Emission Factors (May 2021)
R-425A,1372,1425,1505,1431,2021 Climate Registry Default Emission Factors (May 2021)
R-426A,1352,1382,1508,1371,2021 Climate Registry Default Emission Factors (May 2021)
R-427A,1828,2013,2138,2024,2021 Climate Registry Default Emission Factors (May 2021)
R-427C,1763,1938,2063,1962,2021 Climate Registry Default Emission Factors (May 2021)
R-428A,2930,3495,3607,3417,2021 Climate Registry Default Emission Factors (May 2021)
R-429A,14,12,12,14,2021 Climate Registry Default Emission Factors (May 2021)
R-430A,106,91,94,105,2021 Climate Registry Default Emission Factors (May 2021)
R-431A,41,35,36,40,2021 Climate Registry Default Emission Factors (May 2021)
R-434A,2662,3131,3245,3075,2021 Climate Registry Default Emission Factors (May 2021)
R-435A,28,24,25,28,2021 Climate Registry Default Emission Factors (May 2021)
R-437A,1567,1684,1805,1639,2021 Climate Registry Default Emission Factors (May 2021)
R-438A,1890,2151,2264,2059,2021 Climate Registry Default Emission Factors (May 2021)
R-439A,1641,1873,1983,1828,2021 Climate Registry Default Emission Factors (May 2021)
R-440A,158,139,144,156,2021 Climate Registry Default Emission Factors (May 2021)
R-442A,1609,1793,1888,1754,2021 Climate Registry Default Emission Factors (May 2021)
R-444A,85,72,87,88,2021 Climate Registry Default Emission Factors (May 2021)
R-444B,284,240,293,295,2021 Climate Registry Default Emission Factors (May 2021)
R-445A,117,117,129,117,2021 Climate Registry Default Emission Factors (May 2021)
R-446A,442,374,459,460,2021 Climate Registry Default Emission Factors (May 2021)
R-447A,540,493,582,571,2021 Climate Registry Default Emission Factors (May 2021)
R-447B,666,646,739,714,2021 Climate Registry Default Emission Factors (May 2021)
R-448A,1170,1300,1386,1273,2021 Climate Registry Default Emission Factors (May 2021)
R-449A,1184,1308,1396,1282,2021 Climate Registry Default Emission Factors (May 2021)
R-449B,1199,1320,1411,1296,2021 Climate Registry Default Emission Factors (May 2021)
R-449C,1067,1167,1250,1146,2021 Climate Registry Default Emission Factors (May 2021)
R-450A,546,546,601,546,2021 Climate Registry Default Emission Factors (May 2021)
R-451A,133,133,146,133,2021 Climate Registry Default Emission Factors (May 2021)
R-451B,146,146,160,146,2021 Climate Registry Default Emission Factors (May 2021)
R-452A,1724,2067,2139,1945,2021 Climate Registry Default Emission Factors (May 2021)
R-452B,632,607,697,675,2021 Climate Registry Default Emission Factors (May 2021)
R-452C,1789,2143,2219,2018,2021 Climate Registry Default Emission Factors (May 2021)
R-453A,1534,1664,1765,1636,2021 Climate Registry Default Emission Factors (May 2021)
R-454A,228,193,236,237,2021 Climate Registry Default Emission Factors (May 2021)
R-454B,448,379,465,466,2021 Climate Registry Default Emission Factors (May 2021)
R-454C,140,118,145,146,2021 Climate Registry Default Emission Factors (May 2021)
R-456A,624,618,684,626,2021 Climate Registry Default Emission Factors (May 2021)
R-457A,131,113,136,138,2021 Climate Registry Default Emission Factors (May 2021)
R-458A,1457,1576,1650,1564,2021 Climate Registry Default Emission Factors (May 2021)
R-460C,684,697,762,694,2021 Climate Registry Default Emission Factors (May 2021)
R-461A,2291,2676,2767,2567,2021 Climate Registry Default Emission Factors (May 2021)
R-462A,1883,2136,2249,2060,2021 Climate Registry Default Emission Factors (May 2021)
R-463A,1256,1400,1493,1377,2021 Climate Registry Default Emission Factors (May 2021)
R-464A,1106,1277,1321,1240,2021 Climate Registry Default Emission Factors (May 2021)
R-465A,137,116,142,142,2021 Climate Registry Default Emission Factors (May 2021)
R-500,37,31,32,36,2021 Climate Registry Default Emission Factors (May 2021)
R-503,4692,4812,5935,4972,2021 Climate Registry Default Emission Factors (May 2021)
R-504,313,265,325,326,2021 Climate Registry Default Emission Factors (May 2021)
R-507,3300,3850,3985,3985,2021 Climate Registry Default Emission Factors (May 2021)
R-507A,3300,3850,3985,3985,2021 Climate Registry Default Emission Factors (May 2021)
R-509,3920,4816,4945,4984,2021 Climate Registry Default Emission Factors (May 2021)
R-509A,3920,4816,4945,4984,2021 Climate Registry Default Emission Factors (May 2021)
R-512A,198,179,189,196,2021 Climate Registry Default Emission Factors (May 2021)
R-513A,572,572,629,572,2021 Climate Registry Default Emission Factors (May 2021)
R-513B,540,540,593,540,2021 Climate Registry Default Emission Factors (May 2021)
R-515A,348,420,386,402,2021 Climate Registry Default Emission Factors (May 2021)
R-516A,130,127,139,130,2021 Climate Registry Default Emission Factors (May 2021)
